Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,65.56936585,65.98802439,66.36553659,66.71397561,67.04429268,67.3697561,67.699,68.03468293,68.37714634,68.72841463,69.08614634,69.44609756,69.79914634,70.13965854,70.46529268,70.77780488,71.08082927,71.37770732,71.66978049,71.95285366,72.22014634,72.46234146,72.67319512,72.84902439,72.9897561,73.09797561,73.17936585,73.24270732,73.2962439,73.3444878,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58995122,73.61634146,73.64485366,73.6794878,73.72419512,73.78443902,73.86217073,73.95882927,74.07190244,74.19990244,74.33882927,74.4827561,74.62768293,74.77114634,74.91063415,75.04765854,75.18319512,75.31973171,75.45678049,75.59434146
Afghanistan,AFG,32.33756098,32.78697561,33.22892683,33.66690244,34.10190244,34.53490244,34.96692683,35.39892683,35.83241463,36.26939024,36.71282927,37.1617561,37.62017073,38.08858537,38.571,39.06943902,39.58539024,40.11985366,40.67682927,41.25880488,41.8752439,42.53360976,43.23590244,43.98009756,44.76219512,45.57921951,46.42765854,47.29656098,48.17046341,49.03136585,49.85780488,50.6277561,51.3327561,51.97026829,52.54382927,53.06241463,53.54353659,54.00970732,54.48290244,54.97514634,55.49892683,56.06070732,56.65353659,57.26587805,57.89121951,58.51558537,59.12595122,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293,63.29819512
Angola,AGO,33.22602439,33.5477561,33.888,34.24473171,34.61746341,35.00221951,35.3965122,35.79785366,36.20226829,36.60721951,37.01421951,37.4257561,37.84331707,38.26185366,38.67531707,39.07212195,39.44119512,39.77246341,40.0614878,40.30778049,40.51092683,40.67558537,40.81436585,40.93782927,41.05302439,41.16134146,41.26070732,41.3514878,41.44160976,41.54358537,41.6694878,41.82846341,42.03465854,42.30309756,42.65029268,43.09812195,43.66595122,44.35514634,45.15958537,46.07078049,47.0767561,48.16263415,49.30156098,50.46612195,51.63285366,52.78770732,53.92712195,55.0475122,56.13929268,57.181,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171,61.18934146
Albania,ALB,62.25436585,63.27346341,64.16285366,64.88709756,65.43819512,65.82739024,66.08931707,66.28721951,66.47495122,66.68160976,66.93258537,67.23887805,67.58595122,67.95795122,68.34834146,68.74121951,69.1155122,69.45617073,69.7542439,70.00965854,70.23597561,70.45446341,70.68512195,70.93739024,71.20653659,71.47121951,71.69756098,71.86195122,71.95329268,71.97858537,71.95878049,71.92626829,71.91797561,71.96480488,72.08073171,72.27626829,72.5514878,72.88395122,73.25063415,73.63553659,74.01402439,74.36292683,74.67065854,74.93470732,75.15709756,75.35702439,75.5612439,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024,78.20314634
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,46.81504508,47.39723206,47.97776787,48.56087439,49.14739471,49.7326573,50.30677928,50.86400174,51.40391625,51.93273186,52.46108727,53.00429598,53.57234795,54.16648165,54.78034283,55.40528375,56.03012295,56.64595166,57.25188409,57.8557942,58.46915408,59.10246046,59.75807979,60.4301399,61.10408176,61.75848361,62.37332608,62.93641318,63.44054214,63.88703262,64.31927281,64.68753688,64.98154247,65.34564806,65.71336137,66.12496448,66.48417504,66.82631,67.1432097,67.43459739,67.70347437,67.95668321,68.20217114,68.44820923,68.69853756,68.95180524,69.20331866,69.44569144,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949,71.02843854
United Arab Emirates,ARE,52.28870732,53.33404878,54.3764878,55.415,56.44607317,57.46119512,58.44934146,59.40046341,60.30604878,61.16207317,61.96704878,62.72243902,63.43629268,64.11409756,64.76085366,65.37856098,65.9682439,66.52887805,67.06346341,67.57302439,68.05804878,68.52053659,68.95997561,69.37787805,69.7752439,70.15456098,70.51534146,70.85807317,71.1857561,71.49941463,71.80202439,72.09412195,72.37719512,72.65326829,72.92429268,73.19226829,73.45863415,73.72390244,73.9875122,74.25002439,74.50946341,74.76687805,75.01831707,75.26382927,75.50141463,75.72853659,75.94419512,76.14834146,76.34041463,76.52243902,76.69487805,76.85978049,77.01914634,77.175,77.32936585,77.4842439
Argentina,ARG,65.21553659,65.3385122,65.43260976,65.50939024,65.58241463,65.66868293,65.7822439,65.93002439,66.1134878,66.33509756,66.59082927,66.87312195,67.16795122,67.46531707,67.75865854,68.04795122,68.33670732,68.62943902,68.92663415,69.22431707,69.5144878,69.78665854,70.03531707,70.257,70.45419512,70.63139024,70.79907317,70.9677561,71.14590244,71.33753659,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66512195,72.88734146,73.10804878,73.32768293,73.54426829,73.75580488,73.96031707,74.15578049,74.34126829,74.51878049,74.68831707,74.85141463,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134,76.29302439
Armenia,ARM,65.86346341,66.28439024,66.70985366,67.13785366,67.56541463,67.99153659,68.41473171,68.8304878,69.22926829,69.60004878,69.92426829,70.18287805,70.36734146,70.47965854,70.52634146,70.53192683,70.52941463,70.54290244,70.58297561,70.64126829,70.68453659,70.66160976,70.5355122,70.29014634,69.93568293,69.5,69.02429268,68.56756098,68.18209756,67.8995122,67.74878049,67.74268293,67.86260976,68.08565854,68.39860976,68.7895122,69.24312195,69.73885366,70.24817073,70.74534146,71.19965854,71.58197561,71.88839024,72.12097561,72.28473171,72.39878049,72.4912439,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537,74.20619512
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,61.78273171,62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61914634,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756,76.07563415
